"","x"
"1","HOPX"
"2","PRELID3B"
"3","PATZ1"
"4","TXNL1"
"5","OSM"
"6","ADRM1"
"7","TSPO"
"8","DRG1"
"9","LIF"
"10","ADA"
"11","DHRS7"
"12","BIK"
"13","LGALS1"
"14","FKBP1A"
"15","FKBP1C"
"16","ANXA1"
"17","SNX15"
"18","PPDPF"
"19","AHNAK"
"20","GCH1"
"21","GLIPR2"
"22","STK26"
"23","BCL2L1"
"24","CCDC184"
"25","RAC2"
"26","EIF2AK1"
"27","RBFA"
"28","AIMP2"
"29","MAN1A1"
"30","SERPINA3"
"31","GOT1"
"32","MBOAT1"
"33","RAB20"
"34","POLR1E"
"35","TUBB6"
"36","PRPS1"
"37","HSDL2"
"38","CARD19"
"39","NANS"
"40","RHNO1"
"41","SLC25A4"
"42","RNASEH2C"
"43","LAIR2"
"44","CEBPB"
"45","ZFP36L2"
"46","SUCLG1"
"47","DUSP6"
"48","PNPT1"
"49","LARS1"
"50","LY6E"
"51","NFKBIA"
"52","MS4A4A"
"53","SGF29"
"54","IFRD1"
"55","NRGN"
"56","PPP1R15A"
"57","TMEM176B"
"58","ACSBG1"
"59","GRTP1"
"60","GIMAP1-GIMAP5"
"61","IFNGR1"
"62","TNF"
"63","HSD17B10"
"64","TUSC2"
"65","TMEM176A"
"66","UCP2"
"67","TESC"
"68","SERTAD1"
"69","PARD3"
"70","CAPZB"
"71","FAM107B"
"72","TSC22D3"
"73","SPRY1"
"74","COTL1"
"75","FOSB"
"76","TPI1"
"77","PPP1CA"
"78","ARG1"
"79","CFL1"
"80","PEDS1"
"81","ENO1"
"82","DACH2"
"83","NUDT4"
"84","PGS1"
"85","FLOT1"
"86","MOSPD3"
"87","ST3GAL4"
"88","GLRX"
"89","MPP1"
"90","ZFP36"
"91","RMND5B"
"92","CORO1A"
"93","IL10RA"
"94","KCTD12"
"95","AREG"
"96","LSM2"
"97","CD82"
"98","CRIP1"
"99","GNPTAB"
"100","DKKL1"
"101","SERPINB1"
"102","EIF5AL1"
"103","CAMK4"
"104","FHL2"
"105","CDK6"
"106","CCRL2"
"107","PPP1R9B"
"108","CYB561D2"
"109","LYPLA2"
"110","CDKN2D"
"111","TAGLN2"
"112","IPO11"
"113","CTNNA2"
"114","C19orf38"
"115","RNPEP"
"116","CD101"
"117","PRDX6"
"118","EIF5A"
"119","PHLDA1"
"120","RRAD"
"121","PTP4A3"
"122","IER2"
"123","ESYT1"
"124","MINDY1"
"125","TGFB1"
"126","LYST"
"127","IL1RL1"
"128","NUDC"
"129","JUNB"
"130","GADD45B"
"131","SLC7A8"
"132","UROD"
"133","GAPDH"
"134","YWHAE"
"135","ARPC4"
"136","S100A6"
"137","LMNA"
"138","ACTG1"
"139","ACP5"
"140","F2R"
"141","TXNIP"
"142","HAX1"
"143","YIF1B"
"144","NR4A1"
"145","NUDT4B"
"146","C16orf54"
"147","CD69"
"148","GRB2"
"149","KBTBD11"
"150","SPINT2"
"151","ATP2B4"
"152","SLC2A1"
"153","SLFN12"
"154","SLFN12L"
"155","GPR171"
"156","NR4A3"
"157","CDC42EP3"
"158","MS4A4E"
"159","KLF10"
"160","PTPN9"
"161","SSBP4"
"162","PLSCR1"
"163","BTG2"
"164","P2RY14"
"165","ATF3"
"166","SNAP47"
"167","GIMAP5"
"168","MUC1"
"169","MCTP1"
"170","MRPL55"
"171","TMEM59"
"172","PSAP"
"173","GNG2"
"174","CAPG"
"175","SLFN5"
"176","LAT"
"177","CCS"
"178","EFCAB14"
"179","SNX20"
"180","PPARG"
"181","RHOF"
"182","SRP68"
"183","SOAT1"
